"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"0a5bf9af5f234c39d483abd5f786e2dc","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Saprospiraceae"," "," "
"8c21d777bc3e6ac02cb56e48ebfa7705","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Saprospiraceae"," "," "
"4f60a88591561862fa85a714454a5e40","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Saprospiraceae"," "," "
"491edf4399b5b307775b8e4f3281d589","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Saprospiraceae"," "," "
"b7cc218ca1bf93e7cf985ec718297e8f","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Saprospiraceae"," "," "
"5993ade3338e5176ab38b4bcdfda5d19","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"77d33b9419d14aecb6063eb3b8d91cab","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"729e254259d76bcb48c86cd261dff366","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"51a3915b2348c79b261d10cc9c6f52b3","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"c0c51451ce75b0d39cf6913df77bef7b","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"9283506b935ef598c5d08a904b8687f2","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"ba03d574288216cb347a3817cfd2cfd4","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"f6f83333b53cd54268335eaee2f2ffef","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"1e3dcd885356040cc192a654203fc427","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"b27e70d70674d52628e0001126105309","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"728bb5448c535c473735e5dae85ca41e","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"64a89b49d17263475e34fdcc76083897","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," Flavisolibacter"," "
"12e74d674f80d69579a8bc4bde69b17c","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," Niabella"," "
"2df23ff349761895dc542b9d3929245d","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," Segetibacter"," "
"f0305c2bb230123846e4d634f70e817c","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"d9ea61005643a4051b118703705322ae","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"30d4dc06e175ba07318a52ca145c3eff","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"2596b8783ea61209010e0db527cabd9c","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae",NA,NA
"7f49d71c12e405e5a482e201116db241","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," Niabella"," "
"3ada8657a5cdc491363d4916f9e9f3a8","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," Niabella"," "
