"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"5993ade3338e5176ab38b4bcdfda5d19","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"51a3915b2348c79b261d10cc9c6f52b3","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"ba03d574288216cb347a3817cfd2cfd4","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"728bb5448c535c473735e5dae85ca41e","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"d9ea61005643a4051b118703705322ae","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"30d4dc06e175ba07318a52ca145c3eff","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"8678dea077ece20287b950cd5bc66db8","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"64aca044970cf53d900ee2c1b1ad938d","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"08f4c036274c4569880bcd14e258f3f6","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"84b58dde4a685bb291eb262d86785ceb","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," Cryomorphaceae"," Brumimicrobium"," "
"618f82c2e46f0ebfc2dd11285b16bec1","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," Cryomorphaceae"," Fluviicola"," "
"128e6861dfbf08ef2bf0b77b79ae8452","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," Flavobacteriaceae"," Aequorivita"," "
"e67e58513b56f7aec1179b9c9f5491f2","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," [Weeksellaceae]"," "," "
"25bcacaa20e03d23f7c38bc423c707ce","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," [Weeksellaceae]"," "," "
"7b673af04ecf62c48a3bd01bcff801c4","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," [Weeksellaceae]"," Cloacibacterium"," "
"8612a638846acf832935cb932a1f0398","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," [Weeksellaceae]"," Cloacibacterium"," "
"6893e9cfcf4ca056f62aec6f490be982","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," [Weeksellaceae]"," "," "
"34244f46ca2dbc7e4f45efefd6ee8dce","Bacteria"," Bacteroidetes"," Sphingobacteriia"," Sphingobacteriales"," Sphingobacteriaceae"," Sphingobacterium"," mizutaii"
"10b890326e2b0b15509aefb95d0d6b79","Bacteria"," Bacteroidetes"," Sphingobacteriia"," Sphingobacteriales"," Sphingobacteriaceae"," Sphingobacterium"," multivorum"
"ed52f10a121caf6393ed73005fe3519b","Bacteria"," Bacteroidetes"," Sphingobacteriia"," Sphingobacteriales"," Sphingobacteriaceae"," "," "
"747eb6e9a6df7686a73009847bbc6c5f","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Hymenobacter"," "
"0d0cc0527ae5e10769a27f97c5966811","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Hymenobacter"," "
"c3988b4dd180c9c6a907dfcbcbdbfcef","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Adhaeribacter"," "
"b3df7a8eb392780ebcf3ae3d6416ee0e","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Leadbetterella"," "
"adec59dd48556578670f969792a2ff8c","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Leadbetterella"," "
"f9e3cc299c5f821e66e468c67a285915","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Dyadobacter"," "
"ebcde793488ffb6a6c083b94204de559","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Spirosoma"," "
"2f032673defa78e4f3984f25289c4923","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," "," "
"2be0c569c28a41e77a0183ef350b43c1","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," "," "
"5cd890ab4f53256d6b1762acf5ab7c69","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," "," "
"97e6ab5e2216bdc7d4a0ce3851789550","Bacteria"," Planctomycetes"," Planctomycetia"," Gemmatales"," Isosphaeraceae"," "," "
"918fc30207b18a308ba0cb1e5244bd45","Bacteria"," TM6"," SJA-4"," "," "," "," "
"84ec91878eb7c822ebe95a695d8adcce","Bacteria"," TM6"," SJA-4"," "," "," "," "
"5b6abc69640b2f9342656d6bd94055bb","Bacteria"," Acidobacteria"," Acidobacteriia"," Acidobacteriales"," Acidobacteriaceae",NA,NA
"747f5947c9bf8b56e76e524e5506ce8c","Bacteria"," Acidobacteria"," Acidobacteriia"," Acidobacteriales"," Acidobacteriaceae"," "," "
